nombre,codigo_maestro,proveedor,articulos,con_stock,pais_maestro
MAPEI,PEI,"ALFA INGENIERIA & SERVICIOS, C.A",10,8,Venezuela
DALCA,DAL,"D.A.L., C.A ""DALCA""",10,9,Venezuela
ELECTRONICS,123,"COMERCIALIZADORA ROMA 2021, C.A",9,6,Venezuela
DISORCA,LIM,DISORCA C A,9,9,Venezuela
WD-40,WD4,"NOVEDADES TEXSAL, C.A",9,8,Venezuela
MA TOOLS,OPO,"DISTRIBUIDORA SANPON, C.A.",9,9,China
WALVEN,LLU,"REPRESENTACIONES WALVEN 3006, C.A",9,9,Venezuela
SUFEIN,ELI,SUMINISTROS FERRETEROS IN C.A,8,6,Venezuela
MOTINDUSTRIA,NVD,"MOTINDUSTRIA, C.A.",8,0,Venezuela
NUMED8,OPO,TWU LATIN CORP,8,7,China
MAJIC,OPO,HARMONY INTERNATIONAL LIMITED,8,8,China
TUBO CORRUGADO,0D2,"TUBOFLEX, C.A.",8,4,Venezuela
W&W,OJO,"WIN & WIN, C.A",8,7,Venezuela
LOFRAMA,AAA,"FABRICA LOFRAMA, C.A.",7,7,Venezuela
CHESTERWOOD,OPO,"CORPORACION FERRENMAX, C.A.",7,7,Venezuela
FibroTextil,PSS,C.A. FIBRO TEXTIL DEL ESTADO LARA,7,6,Venezuela
NORTON,002,INDUSTRIA DE ABRASIVOS VENEZOLANOS C.A,7,7,Germany
ZETA,ZET,"ZETA IMPORT,C.A.",7,6,Venezuela
TEKBOND,TEK,INDUSTRIA DE ABRASIVOS VENEZOLANOS C.A,7,6,Venezuela
UNION-K,KDP,DISTRIBUIDORA EL KIT DEL PINTOR C.A,6,3,Venezuela
SEGURIMAX,OPO,HARMONY INTERNATIONAL LIMITED,6,6,China
VALVTECH,ELI,"IHS DE VENEZUELA, C.A",6,6,Venezuela
NEO PLAST,PNO,"PLASTICOS NEOMAR 2024, C.A.",6,6,Venezuela
BLUE DREAMS,ELI,METALES ALEADOS C.A.,6,6,Venezuela
INFINITY,CAP,"CORPORACION AMERICAN PARTS, C.A.",6,0,Venezuela
CSC,CSC,"VENEZOLANA DE CEMENTOS, S.A.C.A",6,4,Venezuela
CHAMPION,SUS,UNITED CHEMICAL PACKAGING C.A.,6,5,Venezuela
RECORD,SUS,"FANAMETAL,  C.A.",6,0,Venezuela
TAURO,0C9,INDUSTRIAS TAURO C.A.,5,5,Venezuela
SPEED EXPRESS,SPE,DISTRIBUIDORA SPEED EXPRESS C.A.,5,5,Venezuela
PLASTICO DE EMPAQUE,003,"PLASTICOS DE EMPAQUE, C.A.",5,4,Venezuela
ORTIOKA,NVD,"ORLANDO JOSE ORTIZ CHACON , ( SEMIVEN ORTIZ, F.P )",5,5,Venezuela
PEGAMIX,175,"INDUFERCA, C.A.",5,5,Venezuela
PROTONIC,OPO,"DISTRIBUIDORA AALD, C.A",5,5,China
METCO,TOD,"TODO CONSTRUCTOR VALENCIA, C.A.",5,4,Venezuela
MOTORCRAFT,AUM,AUTOMUNDIAL S.A,5,2,Mexico
ERA,TRX,"IMPORTADORA DT 3147, C.A.",5,5,Venezuela
"INVERSIONES SUAREZ, C.A.",SUA,"INVERSIONES SUAREZ ESC, C.A.",5,4,Venezuela
Flex Seal,FSL,"NOVEDADES TEXSAL, C.A",5,4,Venezuela
PORTER CABLE,NVD,BAMERICA CORPORATION,5,2,Venezuela
BAMERICA,OPO,"DISTRIBUIDORA AALD, C.A",5,5,China
ASTROS,OPO,"MAYOR FERRETERO ASTROS, C.A.",5,5,Venezuela
CAZ,SUS,"BALANZAS Y ROMANAS CAZ, C.A.",5,2,Venezuela
SOLUPLASTI,ELI,"SOLUPLASTI, C.A.",4,1,Venezuela
JOMOO,ELI,"IMPORTADORA DT 3147, C.A.",4,4,Venezuela
BONIFICACIONES-FLETES-DEBITO,NVD,,4,0,Venezuela
CABLESCA,CAB,"CABLESCA, CABLES ESPECIALES C.A.",4,4,Venezuela
EVERGREEN,SUP,SUPLIDORA DEL CAMPO C.A.,4,4,Venezuela
COMFORT ZONE,TGR,HARMONY INTERNATIONAL LIMITED,4,4,Costa Rica
PHILIPS,OPO,"INVERSIONES PROMES, S. A.",4,4,China
SPRAYER,LIQ,MAY'S ZONA LIBRE S.A.,4,4,Venezuela
VIETVEN,TRX,"IMPORTADORA DT 3147, C.A.",4,4,Venezuela
TOOLCRAFT,LIQ,HARMONY INTERNATIONAL LIMITED,4,4,Costa Rica
SPEED,ELI,"IMPORTADORA Y DISTRIBUIDORA SEA,C.A.",4,4,Venezuela
WELDTECH,ELI,"STAR GAS,C.A.",4,4,Venezuela
BRUGMANN,OPO,"ORGILL, INC",3,3,China
ECO,OPO,"ORUS GRUPO EMPRESARIAL, C.A.",3,2,Venezuela
COVISOL,ELI,CRUZSALUD C.A.,3,3,Venezuela
HERCULES,NVD,"NOBLE TESLA, C.A",3,3,Venezuela
YALE,YAL,HARMONY INTERNATIONAL LIMITED,3,3,China
YANYUN,YAN,WARMSMITH INDUSTRIES PTE. LTD.,3,3,China
VENSOL,NVD,"PRODUCTOS ARCA 2723, C.A.",3,1,Venezuela
PONI,POI,INVERSIONES MK45 C.A,3,3,Venezuela
OATEY,NVD,BAMERICA CORPORATION,3,0,Mexico
PIONERA,AA1,"CAVEGAS, C.A.",3,2,Venezuela
TUCSON TOOLS,ELI,"ACEMETAL, C.A.",3,3,Venezuela
VENEZOLANA DE ESTOPAS,109,"VENEZOLANA DE ESTOPAS, C.A.",3,3,Venezuela
GYMBOPRO,BAM,BAMERICA CORPORATION,3,3,China
IDHEA,NVD,"COMERCIALIZADORA IDHEA, C.A",2,1,China
LENOX,SAW,NINGBO TRADING INTERNATIONAL CORP. LTD,2,2,Venezuela
IRWIN,214,NINGBO TRADING INTERNATIONAL CORP. LTD,2,2,United States
FISHER PIERCE OLC,ZET,"ZETA IMPORT,C.A.",2,2,China
OXFORD,OXF,"FERRE HOGAR Y TECHOS, C.A.",2,0,Venezuela
SB,NVD,"WORLD CHEMICAL DE VENEZUELA, C.A.",2,0,Venezuela
VISOCA,0D3,"CORPORACION VISOCA, C.A (CORPORACION VISOCA, C.A)",2,2,Venezuela
TECNICA MONTE BLANCO,ELI,TECNICA MONTE BLANCO C.A.,2,0,Venezuela
SCORPIO,NVD,"SCORPIO 71, C.A.",2,0,Chile
SCORPIONS,NVD,"DISTRIBUIDORA ROAD RUNNER, C.A",2,0,China
SMARTLOCK,GTR,"GATER LOCKS PANAMA, S.A.",2,2,Panama
SCHNEIDER,ELI,"IMPORTADORA TRX 9080, C.A.",2,2,Venezuela
VICTOR,AAA,"ORGILL, INC",2,0,United States
PERFECTWELD,NVD,"STAR GAS,C.A.",2,2,Venezuela
INDUCAL,INL,"INDUCAL BARQUISIMETO, C.A.",2,2,Venezuela
Pegoutil,PGU,"PEGAMENTOS UTILES DE VENEZUELA, C.A",2,2,Venezuela
MASTER LONA,MTL,"BEVAL, C.A.",2,2,Venezuela
LT,ELI,"INVERSIONES LT IMPORT, C.A.",2,0,Venezuela
MOSERPLAS,MOR,"MOSERPLAS, C.A.",2,2,Venezuela
METALZAMORA,OPO,"CORPORACION METALMECANICA Y DE SERVICIO MIXTO AGROMETALVEN, C.A",2,2,Venezuela
CASTIC,CTI,"GRUPO ALKABUS, C.A",2,2,Venezuela
CIMSA,0D3,4SA IMPORTACIONES C.A,2,2,Venezuela
BIC,SNZ,"SANOZ DE VENEZUELA, C.A",2,2,Venezuela
ATRIA,ATR,PEGATODO ATRIA C A,2,2,Venezuela
AMA,ELI,INVERSIONES DTCG C.A,2,2,Venezuela
ALFACERO,ALH,ALFACERO HUAL C.A.,2,0,Venezuela
AGE USA,ELI,AGRONEGOCIOS LATINOS CA,2,2,Venezuela
3-En-Uno,NVD,"NOVEDADES TEXSAL, C.A",2,1,Venezuela
GENERAL ELECTRIC,ELI,"INVERSIONES PROMES, S. A.",2,1,United States
BELDEN,NVD,"CABELEC 168, C.A.",1,0,Venezuela
AFO,LD1,"COMERCIALIZADORA E IMPORTADORA MERAKI, C.A",1,1,Venezuela
BELLOTA META,NVD,,1,0,Venezuela
BRIDGE,BRD,"IMPORTADORA DT 3147, C.A.",1,1,Venezuela
BRICOPRO,NVD,BRICO PRODUCTS DE VENEZUELA C.A.,1,1,
COBRA,TPE,"INVERSIONES 1INHVELCA, C.A.",1,1,China
CLASSIC LUX,102,"DISTRIBUIDORA DE LINEAS, DILISA, S.A",1,0,Venezuela
LINCE PRO,ELI,"MUNDIAL ELECTRICO, C.A",1,0,Venezuela
KORONA,KRN,"INVERSIONES XIMA, C.A",1,1,China
JUGUE-WORLD,NVD,"SILLACA, C.A.",1,1,Venezuela
KALE,NVD,"GRUPO SUNNY, C.A.",1,0,Venezuela
GENERICO MEGAGREY,GMG,"BEVAL, C.A.",1,1,Venezuela
EXTRA COLOMBIA,0D3,"FERRECONSTRUCCIONES QUINTERO 2002,CA",1,1,Venezuela
FACE SHIELD,NVD,"DISTRIBUIDORA GRM 2612, C.A",1,0,Venezuela
FRANZ VIEGENER,NVD,COMPAÑIA VENEZOLANA DE CERAMICA C.A.,1,1,Venezuela
DECOGLASS,IAC,,1,0,Venezuela
ARGOS,AGO,"UB DISTRIBUCIONES, C.A.",1,1,Venezuela
MARFIL,0D3,"DISTRIBUIDORA TRIBECA, C.A.",1,1,Venezuela
MONART,HTL,MARA GROUP (MARA GROUP),1,1,Venezuela
OPORTUNIDAD,OPO,"RED & RED DISTRIBUCION Y SERVICIOS, C.A",1,1,Venezuela
MULTIPRENS,MU3,"DISTRIBUIDORA JOGA27, C.A.",1,1,Venezuela
PANORAMA,NVD,"INVERSIONES PANORAMA 2000, C.A.",1,1,Venezuela
MAX MOTOR,NVD,MAY'S ZONA LIBRE S.A.,1,1,Costa Rica
RALED,RAL,COMERCIAL RALI S.A.,1,1,Panama
PROMAKER,NVD,,1,1,Venezuela
PROPAINT,NVD,,1,1,Venezuela
PEGAS HERCULES,SUS,"PEGAS ""HERCULES"" C.A.",1,1,Venezuela
PENS,NVD,GRUPO EMPRESARIAL A&A INTERNATIONAL S.A,1,0,Mexico
PEGOFLEX,ELI,"INDUSTRIAS GREMA, C.A.",1,1,Venezuela
PERMAFLEX,NVD,"GB GROUP, C.A.",1,1,Venezuela
PIRAMIDE,0D3,"FERRECONSTRUCCIONES QUINTERO 2002,CA",1,1,Venezuela
NEX,NVD,"INVERSIONES PGR, C.A.",1,0,China
STAR JET,NVD,"CAVEGAS, C.A.",1,0,Venezuela
SICA,NVD,"IMPORTADORA DT 3147, C.A.",1,1,Venezuela
SIEMENS,OPO,,1,1,Brasil
VERT,NVD,"BELMENY GROUP, C.A",1,1,China
Veta,NVD,"PVSOL VENEZUELA, C.A",1,1,Venezuela
YOKATA,YOK,"YOKATA IMPORT, C.A.",1,1,Venezuela
ZAFIRO,ZAF,"FERREINDUSTRIAL LA CRUZ, C.A.",1,1,Venezuela
